id;store_name;store_status;timestamp
1;Unbranded Wooden Shirt repurpose;Keyboard Accounts;2020-05-27T14:00:34
2;Horizontal Soft Tennessee;Cotton collaborative implementation;2020-05-28T04:44:53
3;Cheese Vista;Quality-focused sensor;2020-05-27T19:31:40
4;Pants;Wooden payment;2020-05-27T11:13:21
5;middleware;Michigan COM Horizontal;2020-05-28T05:26:04
6;Future Shirt Awesome Granite Chicken;system driver;2020-05-27T23:38:52
7;digital;1080p alarm Lock;2020-05-27T17:01:34
8;Jordanian Dinar access Tala;generating Jewelery payment;2020-05-27T17:55:58
9;Corporate Cotton;task-force South Carolina;2020-05-28T07:33:29
10;Digitized parsing Course;synergize;2020-05-28T06:31:48
