addr1,addr2,addr3,addr4,suburb,postcode,area,area_unit,price,type,contract_date,settle_date
,13,18 A,WYATT AVE,BURWOOD,2134,,,1700000,RESIDENCE,20220307,20220530
,,353,GEORGES RIVER RD,CROYDON PARK,2133,404.7,M,650000,RESIDENCE,20220518,20220526
,,25,BURWOOD RD,BURWOOD,2134,505.8,M,6500000,COMMERCIAL,20220209,20220601
,,14,IRRARA ST,CROYDON,2132,457,M,2950000,RESIDENCE,20220305,20220530
,,3,WALLACE ST,BURWOOD,2134,1277.2,M,4050000,RESIDENCE,20220408,20220527
BUILDING A,1,60,VICTORIA ST,BURWOOD,2134,120,M,1230000,RESIDENCE,20220331,20220531
,411,15,CLARENCE ST,BURWOOD,2134,118,M,1245000,RESIDENCE,20211202,20220527
,607,15,CLARENCE ST,BURWOOD,2134,122,M,1135000,RESIDENCE,20211126,20220527
,701,15,CLARENCE ST,BURWOOD,2134,86,M,875000,RESIDENCE,20220407,20220601
,609 A,68,RAILWAY PDE,BURWOOD,2134,117,M,871000,RESIDENCE,20220402,20220531
,,50,FIRST ST,ASHBURY,2193,455.29,M,1670000,RESIDENCE,20220419,20220531
,7,219,CROYDON RD,CROYDON,2132,,,1268000,RESIDENCE,20220403,20220531
,6,411,LIVERPOOL RD,ASHFIELD,2131,,,761000,RESIDENCE,20220430,20220531
,605,1,MARKHAM PL,ASHFIELD,2131,84,M,672000,RESIDENCE,20220429,20220531
,10,35,ORPINGTON ST,ASHFIELD,2131,,,740000,RESIDENCE,20220326,20220530
,,16,AUSTRALIA ST,CROYDON,2132,588.1,M,2100000,RESIDENCE,20220326,20220530
,,2 A,TAWA ST,ASHFIELD,2131,417.3,M,1900000,RESIDENCE,20220420,20220601
,2,99,BLAND ST,ASHFIELD,2131,,,850000,RESIDENCE,20220421,20220602
,20,7,LOFTUS ST,ASHFIELD,2131,,,730000,RESIDENCE,20220414,20220527
,,12,VICTORIA SQ,ASHFIELD,2131,660.35,M,4950000,RESIDENCE,20220212,20220531
,2,29,ALT ST,ASHFIELD,2131,,,912000,RESIDENCE,20220328,20220527
,2,33,ELIZABETH ST,ASHFIELD,2131,,,865000,RESIDENCE,20220420,20220601
,,67,HOLDEN ST,ASHFIELD,2131,328.8,M,1650000,RESIDENCE,20220409,20220530
,,12,KING ST,ASHFIELD,2131,696.77,M,2750000,RESIDENCE,20211202,20220602
,,22,KING ST,ASHFIELD,2131,347.77,M,1800000,RESIDENCE,20220427,20220601
,,67,CROYDON RD,CROYDON,2132,205.7,M,1450000,RESIDENCE,20220419,20220530
,3,6,DUNMORE ST,CROYDON PARK,2133,,,682500,RESIDENCE,20220410,20220606
,5,9,ALBERT RD,CROYDON PARK,2133,,,565000,RESIDENCE,20220427,20220608
,5,71,BRIGHTON AVE,CROYDON PARK,2133,,,530000,RESIDENCE,20220405,20220606
,,21,FIFTH ST,ASHBURY,2193,487.72,M,2450000,RESIDENCE,20220311,20220603
,7,9,QUEENSBOROUGH RD,CROYDON PARK,2133,,,560000,RESIDENCE,20220422,20220603
,10,7,QUEENSBOROUGH RD,CROYDON PARK,2133,,,385000,RESIDENCE,20220422,20220603
,106,1,MARKHAM PL,ASHFIELD,2131,106,M,660000,RESIDENCE,20220304,20220606
,,117,CROYDON RD,CROYDON,2132,468.22,M,1925000,RESIDENCE,20220312,20220606
,,27,PARK AVE,ASHFIELD,2131,207.7,M,1845000,RESIDENCE,20220423,20220603
,,5,HUGH ST,ASHFIELD,2131,459.94,M,2030000,RESIDENCE,20220409,20220606
,6,67,CHANDOS ST,ASHFIELD,2131,,,1240000,RESIDENCE,20220423,20220606
,,68,SEAVIEW ST,ASHFIELD,2131,512,M,2515000,RESIDENCE,20220305,20220603
,,70,SEAVIEW ST,ASHFIELD,2131,496,M,2375000,RESIDENCE,20220423,20220603
,,4,PARKHILL ST,CROYDON PARK,2133,385.7,M,1600000,RESIDENCE,20220422,20220603
,,7,WALSH AVE,CROYDON PARK,2133,445.82,M,950000,RESIDENCE,20220504,20220607
,401,15,CLARENCE ST,BURWOOD,2134,86,M,795000,RESIDENCE,20210726,20220609
,403,15,CLARENCE ST,BURWOOD,2134,107,M,1130000,RESIDENCE,20220426,20220608
,407,15,CLARENCE ST,BURWOOD,2134,120,M,1128600,RESIDENCE,20220531,20220608
,3,3,WILGA ST,BURWOOD,2134,147,M,430000,RESIDENCE,20220407,20220609
,6,66,STANLEY ST,BURWOOD,2134,143,M,980000,RESIDENCE,20220413,20220608
,,43,WALKER ST,CANADA BAY,2046,512.2,M,2756000,RESIDENCE,20220329,20220607
,,3,ALBERT RD,CROYDON PARK,2133,335.1,M,1650000,RESIDENCE,20220404,20220614
,,61,CRIEFF ST,ASHBURY,2193,572.2,M,2620000,RESIDENCE,20220505,20220616
,,72,ROSLYN ST,ASHBURY,2193,594.4,M,1850000,RESIDENCE,20220429,20220610
,4,6,WEST ST,CROYDON,2132,,,520000,RESIDENCE,20220502,20220616
